year,score,num
2010,3,205
2010,4,810
2010,5,2170
2010,6,4470
2010,7,7225
2010,8,10100
2010,9,13300
2010,10,14845
2010,11,15670
2010,12,16465
2010,13,15865
2010,14,14710
2010,15,14800
2010,16,10850
2010,17,6375
2010,18,4880
2011,3,155
2011,4,645
2011,5,1790
2011,6,3835
2011,7,6785
2011,8,10140
2011,9,13630
2011,10,15785
2011,11,16480
2011,12,17290
2011,13,16420
2011,14,15285
2011,15,14930
2011,16,11345
2011,17,6690
2011,18,5380
2012,3,120
2012,4,660
2012,5,1775
2012,6,3785
2012,7,6485
2012,8,9445
2012,9,12510
2012,10,14645
2012,11,15715
2012,12,16605
2012,13,16255
2012,14,14745
2012,15,14320
2012,16,10640
2012,17,6270
2012,18,5150
2013,3,160
2013,4,620
2013,5,1810
2013,6,3805
2013,7,6570
2013,8,9525
2013,9,12735
2013,10,15045
2013,11,16065
2013,12,17290
2013,13,16545
2013,14,14780
2013,15,14110
2013,16,10365
2013,17,6065
2013,18,4880
2014,3,150
2014,4,695
2014,5,1895
2014,6,4115
2014,7,6760
2014,8,9855
2014,9,12680
2014,10,14785
2014,11,15705
2014,12,16675
2014,13,15865
2014,14,14190
2014,15,12990
2014,16,9975
2014,17,6425
2014,18,5175
2015,3,145
2015,4,670
2015,5,1910
2015,6,4065
2015,7,6985
2015,8,10190
2015,9,13315
2015,10,15440
2015,11,16615
2015,12,17485
2015,13,16265
2015,14,14365
2015,15,13085
2015,16,10200
2015,17,6600
2015,18,5280
